time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
318,0.0051516,6.85584,0.00514986,750.543,375.514,3.74016
319,0.00512378,6.81748,0.00512204,750.594,376.345,3.75594
320,0.00509596,6.77915,0.00509423,750.633,377.197,3.77275
321,0.00506817,6.74086,0.00506643,750.669,378.071,3.78921
322,0.00504039,6.70262,0.00503866,750.521,378.957,3.80378
323,0.00501264,6.66443,0.00501091,750.566,379.888,3.82015
324,0.00498491,6.6263,0.00498318,750.606,380.849,3.8359
325,0.00495721,6.58823,0.00495548,750.643,381.84,3.85117
326,0.00492954,6.55023,0.00492781,750.5,382.856,3.86439
327,0.0049019,6.51231,0.00490017,750.544,383.925,3.87912
328,0.00487429,6.47445,0.00487256,750.585,385.033,3.8931
329,0.00484671,6.43669,0.00484499,750.431,386.17,3.90395
330,0.00481919,6.39903,0.00481747,750.485,387.378,3.91742
331,0.00479171,6.36146,0.00478999,750.53,388.636,3.92965
332,0.00476426,6.32399,0.00476255,750.573,389.95,3.94091
333,0.00473688,6.28665,0.00473517,750.427,391.314,3.94895
334,0.00470955,6.24943,0.00470785,750.479,392.763,3.95895
335,0.00468228,6.21235,0.00468058,750.527,394.283,3.9676
336,0.00465507,6.1754,0.00465337,750.573,395.882,3.97504
337,0.00462794,6.13863,0.00462625,750.434,397.558,3.97925
338,0.00460088,6.10202,0.0045992,750.488,399.339,3.98507
339,0.0045739,6.06558,0.00457221,750.539,401.217,3.98969
340,0.00454699,6.02931,0.00454531,750.39,403.182,3.99024
341,0.00452018,5.99325,0.0045185,750.457,405.278,3.99459
342,0.00449344,5.95736,0.00449177,750.516,407.48,3.99836
343,0.00446678,5.92165,0.00446512,750.573,409.789,4.00257
344,0.0044402,5.88612,0.00443854,750.434,412.185,4.00529
345,0.00441369,5.85075,0.00441204,750.505,414.694,4.01427
346,0.00438723,5.81551,0.00438557,750.572,417.276,4.02623
347,0.00436079,5.78035,0.00435914,750.639,419.915,4.04223
348,0.00433438,5.74527,0.00433273,750.511,422.57,4.06017
349,0.00430797,5.7102,0.00430631,750.591,425.258,4.08622
350,0.00428152,5.67511,0.00427986,750.67,427.941,4.11599
351,0.00425503,5.63997,0.00425337,750.749,430.611,4.14886
352,0.00422849,5.60478,0.00422683,750.634,433.247,4.18159
353,0.00420189,5.5695,0.00420023,750.729,435.889,4.21951
354,0.00417522,5.53413,0.00417355,750.824,438.52,4.25866
355,0.00414847,5.49865,0.0041468,750.705,441.119,4.29524
356,0.00412165,5.46309,0.00411997,750.825,443.747,4.33852
357,0.00409474,5.4274,0.00409306,750.939,446.37,4.38259
358,0.00406774,5.39158,0.00406605,751.055,448.995,4.42796
359,0.00404064,5.35564,0.00403894,750.963,451.603,4.47146
360,0.00401344,5.31956,0.00401174,751.1,454.242,4.52124
361,0.00398612,5.28333,0.00398441,751.236,456.886,4.57229
362,0.00395869,5.24694,0.00395697,751.375,459.537,4.62497
363,0.00393114,5.2104,0.00392941,751.309,462.178,4.67641
364,0.00390346,5.17368,0.00390172,751.467,464.852,4.73389
365,0.00387563,5.13677,0.00387389,751.626,467.536,4.79301
366,0.00384766,5.09967,0.00384591,751.562,470.206,4.84976
367,0.00381955,5.06239,0.00381779,751.747,472.921,4.91452
368,0.00379128,5.02488,0.00378951,751.925,475.644,4.9807
369,0.00376284,4.98715,0.00376105,752.105,478.38,5.04886
370,0.00373423,4.94921,0.00373244,752.069,481.11,5.11572
371,0.00370545,4.91103,0.00370364,752.268,483.879,5.18976
372,0.00367648,4.8726,0.00367466,752.464,486.662,5.2658
373,0.00364731,4.83391,0.00364548,752.429,489.436,5.33951
374,0.00361796,4.79497,0.00361612,752.65,492.258,5.42241
375,0.0035884,4.75575,0.00358654,752.863,495.093,5.5072
376,0.00355862,4.71625,0.00355675,753.077,497.945,5.59456
377,0.00352863,4.67647,0.00352675,753.069,500.796,5.68131
378,0.00349841,4.63638,0.00349651,753.298,503.688,5.77599
379,0.00346795,4.59597,0.00346604,753.526,506.599,5.87348
380,0.00343726,4.55525,0.00343533,753.521,509.507,5.96992
381,0.00340632,4.51421,0.00340438,753.767,512.462,6.07593
382,0.00337512,4.47281,0.00337316,754.009,515.437,6.18505
383,0.00334365,4.43107,0.00334168,754.008,518.408,6.29286
384,0.00331192,4.38897,0.00330993,754.27,521.432,6.41196
385,0.0032799,4.34648,0.00327789,754.525,524.476,6.53459
386,0.00324758,4.30361,0.00324555,754.527,527.516,6.65584
387,0.00321498,4.26035,0.00321293,754.806,530.615,6.79027
388,0.00318205,4.21666,0.00317998,755.074,533.734,6.92883
389,0.0031488,4.17254,0.00314671,755.082,536.85,7.06629
390,0.00311523,4.12799,0.00311312,755.377,540.03,7.21887
391,0.0030813,4.08297,0.00307917,755.659,543.232,7.37649
392,0.00304701,4.03748,0.00304485,755.678,546.434,7.53413
393,0.00301236,3.9915,0.00301018,755.985,549.701,7.70832
394,0.00297732,3.945,0.00297512,756.28,552.993,7.88903
395,0.00294188,3.89797,0.00293965,756.313,556.291,8.07161
396,0.00290603,3.8504,0.00290377,756.631,559.654,8.27221
397,0.00286974,3.80225,0.00286746,756.941,563.045,8.48142
398,0.00283301,3.7535,0.00283069,756.991,566.451,8.69537
399,0.0027958,3.70413,0.00279346,757.32,569.919,8.92882
400,0.0027581,3.6541,0.00275573,757.644,573.423,9.17378
401,0.00271991,3.60341,0.0027175,757.712,576.948,9.42735
402,0.00268117,3.552,0.00267873,758.054,580.536,9.70266
403,0.00264187,3.49984,0.0026394,758.116,584.142,9.98621
404,0.00260199,3.44691,0.00259948,758.481,587.825,10.2981
405,0.00256149,3.39315,0.00255894,758.838,591.549,10.6278
406,0.00252036,3.33855,0.00251776,758.927,595.306,10.9731
407,0.00247853,3.28304,0.00247589,759.303,599.136,11.3499
408,0.00243599,3.22657,0.00243331,759.392,602.999,11.7446
409,0.00239271,3.16911,0.00238997,759.791,606.947,12.179
410,0.00234861,3.11057,0.00234583,759.876,610.924,12.634
411,0.00230368,3.05092,0.00230085,760.304,615.007,13.1395
412,0.00225785,2.99007,0.00225495,760.715,619.148,13.6824
413,0.00221108,2.92798,0.00220813,760.846,623.347,14.264
414,0.0021633,2.86452,0.00216027,761.278,627.642,14.9045
415,0.00211445,2.79966,0.00211136,761.42,632.004,15.5949
416,0.00206445,2.73326,0.00206128,761.874,636.473,16.3595
417,0.00201324,2.66526,0.00201,762.031,641.022,17.19
418,0.00196072,2.59551,0.0019574,762.507,645.69,18.1143
419,0.00190683,2.52392,0.00190341,762.682,650.456,19.1273
420,0.00185144,2.45034,0.00184792,762.832,655.325,20.2609
421,0.00179447,2.37467,0.00179085,763.377,660.372,21.5159
422,0.00173579,2.29671,0.00173206,763.562,665.522,22.9171
423,0.00167529,2.21633,0.00167144,764.118,670.847,24.5086
424,0.00161284,2.13336,0.00160887,764.338,676.32,26.2915
425,0.0015483,2.04761,0.0015442,764.544,681.956,28.3104
426,0.00148156,1.95891,0.00147731,765.161,687.818,30.633
427,0.00141246,1.86709,0.00140806,765.415,693.862,33.2735
428,0.00134089,1.77198,0.00133634,765.668,700.115,36.3074
429,0.00126676,1.67346,0.00126204,766.321,706.601,39.8259
430,0.00118999,1.57145,0.00118511,766.618,713.308,43.878
431,0.00111061,1.46597,0.00110556,766.917,720.225,48.563
432,0.00102873,1.35721,0.00102353,767.216,727.319,53.9618
433,0.000944666,1.24558,0.000939352,767.499,734.517,60.1223
