time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
240,0.0119992,13.8679,0.0119991,859.647,327.464,0.472384
241,0.0119978,13.8565,0.0119977,859.823,327.744,0.471892
242,0.0119963,13.8452,0.0119962,859.997,328.025,0.471411
243,0.0119949,13.8339,0.0119948,860.171,328.306,0.470939
244,0.0119935,13.8226,0.0119934,860.343,328.587,0.470477
245,0.011992,13.8114,0.0119919,860.514,328.869,0.470024
246,0.0119906,13.8001,0.0119905,860.684,329.151,0.469579
247,0.0119891,13.7889,0.011989,860.853,329.433,0.469144
248,0.0119877,13.7777,0.0119876,861.021,329.715,0.468718
249,0.0119863,13.7664,0.0119862,861.188,329.997,0.468301
250,0.0119848,13.7552,0.0119847,861.353,330.279,0.467893
251,0.0119834,13.744,0.0119833,861.518,330.561,0.467493
252,0.0119819,13.7329,0.0119818,861.681,330.844,0.467102
253,0.0119805,13.7217,0.0119804,861.844,331.126,0.466719
254,0.011979,13.7105,0.0119789,862.005,331.408,0.466345
255,0.0119776,13.6994,0.0119775,862.166,331.69,0.465979
256,0.0119761,13.6882,0.011976,862.325,331.973,0.465621
257,0.0119746,13.6771,0.0119746,862.483,332.255,0.465271
258,0.0119732,13.6659,0.0119731,862.641,332.537,0.464928
259,0.0119717,13.6548,0.0119716,862.797,332.819,0.464593
260,0.0119703,13.6437,0.0119702,862.952,333.1,0.464266
261,0.0119688,13.6326,0.0119687,863.107,333.382,0.463947
262,0.0119673,13.6215,0.0119672,863.26,333.663,0.463634
263,0.0119659,13.6105,0.0119658,863.413,333.944,0.463328
264,0.0119644,13.5994,0.0119643,863.564,334.225,0.463029
265,0.0119629,13.5883,0.0119628,863.715,334.505,0.462738
266,0.0119615,13.5773,0.0119614,863.865,334.786,0.462453
267,0.01196,13.5662,0.0119599,864.013,335.066,0.462175
268,0.0119585,13.5552,0.0119584,864.161,335.345,0.461903
269,0.011957,13.5441,0.0119569,864.308,335.624,0.461637
270,0.0119556,13.5331,0.0119555,864.455,335.903,0.461376
271,0.0119541,13.5221,0.011954,864.6,336.182,0.461123
272,0.0119526,13.5111,0.0119525,864.744,336.46,0.460875
273,0.0119511,13.5001,0.011951,864.888,336.737,0.460632
274,0.0119496,13.489,0.0119495,864.984,337.017,0.461755
275,0.0119481,13.478,0.011948,865.118,337.294,0.461352
276,0.0119466,13.467,0.0119465,865.253,337.57,0.460999
277,0.0119451,13.456,0.011945,865.392,337.846,0.460682
278,0.0119436,13.445,0.0119435,865.533,338.121,0.460386
279,0.0119421,13.434,0.011942,865.674,338.395,0.460104
280,0.0119406,13.4231,0.0119405,865.814,338.669,0.459832
281,0.0119391,13.4121,0.011939,865.954,338.943,0.45957
282,0.0119376,13.4011,0.0119375,866.092,339.215,0.459316
283,0.0119361,13.3902,0.011936,866.229,339.487,0.459069
284,0.0119346,13.3793,0.0119345,866.365,339.759,0.458829
285,0.0119331,13.3683,0.011933,866.501,340.03,0.458595
286,0.0119316,13.3574,0.0119315,866.635,340.3,0.458366
287,0.01193,13.3465,0.0119299,866.769,340.569,0.458144
288,0.0119285,13.3355,0.0119284,866.902,340.838,0.457925
289,0.011927,13.3246,0.0119269,867.034,341.106,0.457711
290,0.0119255,13.3137,0.0119254,867.165,341.373,0.457501
291,0.011924,13.3028,0.0119239,867.295,341.639,0.457294
292,0.0119224,13.2919,0.0119223,867.425,341.905,0.457092
293,0.0119209,13.2811,0.0119208,867.554,342.17,0.456892
294,0.0119194,13.2702,0.0119193,867.682,342.434,0.456694
295,0.0119178,13.2593,0.0119177,867.809,342.698,0.456498
296,0.0119163,13.2484,0.0119162,867.936,342.961,0.456304
297,0.0119148,13.2376,0.0119147,868.062,343.223,0.456112
298,0.0119132,13.2267,0.0119131,868.188,343.484,0.455922
299,0.0119117,13.2159,0.0119116,868.312,343.744,0.455732
300,0.0119101,13.205,0.01191,868.436,344.004,0.455543
301,0.0119086,13.1942,0.0119085,868.56,344.262,0.455354
302,0.011907,13.1834,0.0119069,868.682,344.52,0.455165
303,0.0119055,13.1725,0.0119054,868.804,344.778,0.454976
304,0.0119039,13.1617,0.0119038,868.926,345.034,0.454787
305,0.0119024,13.1509,0.0119023,869.046,345.289,0.454596
306,0.0119008,13.1401,0.0119007,869.166,345.544,0.454404
307,0.0118993,13.1293,0.0118992,869.286,345.798,0.454211
308,0.0118977,13.1185,0.0118976,869.405,346.052,0.454016
309,0.0118962,13.1077,0.0118961,869.523,346.304,0.45382
310,0.0118946,13.0969,0.0118945,869.641,346.556,0.453621
311,0.011893,13.0861,0.0118929,869.758,346.807,0.45342
312,0.0118915,13.0754,0.0118914,869.874,347.057,0.453216
313,0.0118899,13.0646,0.0118898,869.99,347.306,0.453008
314,0.0118883,13.0538,0.0118882,870.106,347.555,0.452798
315,0.0118868,13.0431,0.0118867,870.22,347.803,0.452584
316,0.0118852,13.0323,0.0118851,870.335,348.05,0.452367
317,0.0118836,13.0216,0.0118836,870.448,348.297,0.452145
318,0.0118821,13.0109,0.011882,870.561,348.543,0.451919
319,0.0118805,13.0001,0.0118804,870.674,348.788,0.451688
320,0.0118789,12.9894,0.0118788,870.786,349.033,0.451453
321,0.0118774,12.9787,0.0118773,870.897,349.277,0.451214
322,0.0118758,12.968,0.0118757,871.008,349.52,0.450969
323,0.0118742,12.9573,0.0118741,871.119,349.763,0.450718
324,0.0118727,12.9466,0.0118726,871.228,350.005,0.450462
325,0.0118711,12.9359,0.011871,871.338,350.247,0.4502
326,0.0118695,12.9252,0.0118694,871.447,350.488,0.449932
327,0.011868,12.9146,0.0118679,871.555,350.729,0.449658
328,0.0118664,12.9039,0.0118663,871.663,350.969,0.449378
329,0.0118648,12.8933,0.0118647,871.77,351.209,0.449091
330,0.0118632,12.8826,0.0118631,871.877,351.448,0.448797
331,0.0118617,12.872,0.0118616,871.983,351.687,0.448497
332,0.0118601,12.8614,0.01186,872.089,351.926,0.448189
333,0.0118585,12.8507,0.0118584,872.195,352.164,0.447875
334,0.011857,12.8401,0.0118569,872.299,352.402,0.447552
335,0.0118554,12.8295,0.0118553,872.404,352.64,0.447222
336,0.0118538,12.819,0.0118538,872.508,352.878,0.446885
337,0.0118523,12.8084,0.0118522,872.611,353.115,0.446539
338,0.0118507,12.7978,0.0118506,872.714,353.352,0.446186
339,0.0118492,12.7872,0.0118491,872.774,353.593,0.446945
340,0.0118476,12.7766,0.0118475,872.873,353.831,0.446381
341,0.0118461,12.766,0.011846,872.97,354.068,0.445908
342,0.0118445,12.7555,0.0118444,873.07,354.305,0.445462
343,0.0118429,12.7449,0.0118428,873.171,354.542,0.44502
344,0.0118414,12.7344,0.0118413,873.272,354.779,0.444576
345,0.0118398,12.7239,0.0118397,873.373,355.017,0.444125
346,0.0118383,12.7134,0.0118382,873.474,355.254,0.443668
347,0.0118368,12.7029,0.0118367,873.575,355.492,0.443204
348,0.0118352,12.6924,0.0118351,873.674,355.729,0.442732
349,0.0118337,12.682,0.0118336,873.774,355.967,0.442253
350,0.0118321,12.6715,0.011832,873.873,356.206,0.441765
351,0.0118306,12.6611,0.0118305,873.971,356.445,0.441268
352,0.0118291,12.6507,0.011829,874.069,356.684,0.440764
353,0.0118276,12.6402,0.0118275,874.167,356.924,0.440251
354,0.011826,12.6299,0.0118259,874.263,357.164,0.439729
355,0.0118245,12.6195,0.0118244,874.36,357.405,0.439199
356,0.011823,12.6091,0.0118229,874.456,357.646,0.438659
357,0.0118215,12.5987,0.0118214,874.552,357.888,0.43811
358,0.01182,12.5884,0.0118199,874.647,358.131,0.437551
359,0.0118185,12.5781,0.0118184,874.741,358.375,0.436984
360,0.011817,12.5678,0.0118169,874.836,358.619,0.436407
361,0.0118155,12.5575,0.0118154,874.93,358.864,0.43582
362,0.011814,12.5472,0.0118139,875.023,359.111,0.435223
363,0.0118125,12.5369,0.0118125,875.116,359.358,0.434616
364,0.0118111,12.5266,0.011811,875.209,359.607,0.433999
365,0.0118096,12.5164,0.0118095,875.301,359.856,0.433372
